term	code
,485 European ancestry	EUR
Admixed American	AMR
admixed American ancestry	AMR
Afghanistan ancestry	SAS
African	AFR
African admixed and non-African admixed Arab ancestry	AFR
African admixed Arab ancestry	AFR
African American	AFR
African American abacavir-treated	AFR
African American active	AFR
African American adult	AFR
African American Afro-Caribbean	AFR
African American alcohol dependence	AFR
African American alcohol dependent	AFR
African American allergic asthma	AFR
African American allergic asthma cases 4,360 African American	AFR
African American allergic asthma child	AFR
African American ancestry	AFR
African American ancestry lymphoblastoid	AFR
African American ancestry trauma-exposed	AFR
African American and African ancestry	AFR
African American and African ancestry exposed	AFR
African American and African ancestry unexposed	AFR
African American and African Caribbean	AFR
African American and other ancestry	AFR
African American APOE 4e-	AFR
African American APOE e4+	AFR
African American Asian or Latino child cases from 152	AFR,AMR,EAS,SAS
African American asymptomatic neurocognitive impairment	AFR
African American BD	AFR
African American Bipolar disorders	AFR
African American child	AFR
African American child female	AFR
African American child male	AFR
African American chronic obstructive pulmonary disease	AFR
African American chronic obstructive pulmonary disease smoker	AFR
African American cognitively normal	AFR
African American controls,1,718 European ancestry	AFR,EUR
African American current	AFR
African American current and former smoker	AFR
African American current smoker	AFR
African American dementia	AFR
African American depression	AFR
African American diabetic	AFR
African American drinker	AFR
African American ESRD	AFR
African American exposed	AFR
African American female	AFR
African American focal epilepsy	AFR
African American former smoker	AFR
African American genetic generalised epilepsy	AFR
African American genotype 1 HCV	AFR
African American good response	AFR
African American healthy	AFR
African American high risk-	AFR
African American high-risk	AFR
African American human lymphoblastoid	AFR
African American hypertensive	AFR
African American inactive	AFR
African American incident	AFR
African American individuals from 309	AFR
African American individuals from 73	AFR
African American individuals with at least one long-lived	AFR
African American lupus nephritis-ESRD	AFR
African American lymphoblastoid	AFR
African American male	AFR
African American men	AFR
African American mild neurocognitive disorder	AFR
African American mixed	AFR
African American mostly never	AFR
African American newborn	AFR
African American non-alcohol dependent	AFR
African American non-allergic asthma	AFR
African American non-allergic asthma child	AFR
African American non-diabetic	AFR
African American non-drinkers	AFR
African American non-regular	AFR
African American non-responder	AFR
African American normal weight preterm birth	AFR
African American normal weight term birth	AFR
African American or Afro-Caribbean	AFR
African American or Afro-Caribbean and African ancestry	AFR
African American or Afro-Caribbean drinkers and	AFR
African American or Afro-Caribbean heavy	AFR
African American or Afro-Caribbean heavy and light	AFR
African American or Afro-Caribbean light	AFR
African American or Afro-Caribbean, African ancestry, European ancestry, East Asian ancestry, Hispanic or Latin American and South Asian ancestry	AFR,AMR,EAS,EUR,SAS
African American or European ancestry	AFR,EUR
African American or European ancestry female	AFR,EUR
African American or unknown ancestry	AFR
African American overweight or obese preterm birth	AFR
African American overweight or obese term birth	AFR
African American poor response	AFR
African American post-traumatic stress disorder	AFR
African American preterm birth	AFR
African American prevalent	AFR
African American recurrent	AFR
African American regular	AFR
African American responder	AFR
African American Schizoaffective disorder	AFR
African American schizophrenia	AFR
African American Schizophrenia	AFR
African American smoker	AFR
African American spontaneous preterm birth	AFR
African American systemic lupus erythrematosus without nephropathy	AFR
African American tenofovir-treated	AFR
African American term birth	AFR
African American trauma-exposed	AFR
African American trauma-unexposed	AFR
African American type 2 diabetes	AFR
African American unexposed	AFR
African American women	AFR
African American youth	AFR
African American, African ancestry	AFR
African American, African Barbadian or Nigerian ancestry	AFR
African American, Asian, Native Hawaiian or Pacific Islander and unknown ancestry	AFR,EAS,SAS
African American, Asian, Native Hawaiian/other Pacific Islander, Native American/Alaska native or unknown ancestry	AFR,AMR,EAS,SAS
African American, East Asian, Hispanic/Latino or South Asian	AFR,AMR,EAS,SAS
African American, Hispanic and other ancestry	AFR,AMR
African American, Hispanic and other ancestry resistant	AFR,AMR
African American, South Asian, East Asian and Hispanic ancestry	AFR,AMR,EAS,SAS
African American/African Caribbean female	AFR
African American/African Caribbean male	AFR
African American/Afro-Caribbean	AFR
African American/Afro-Caribbean ancestry	AFR
African Americans	AFR
African Americans with bipolar disorder	AFR
African Americans with schizophrenia	AFR
African ancestry	AFR
﻿African ancestry	AFR
